City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
502,Boende,CD,69.55,overcast clouds,-0.2167,20.8667,
503,Abu Samrah,SY,55.71,overcast clouds,35.3029,37.1841,
504,Van,TR,45.75,broken clouds,38.4924,43.3831,Elite World Van Hotel
505,Hargeysa,SO,73.87,clear sky,9.56,44.065,City Center Hotel
507,Bergerac,FR,56.88,clear sky,44.8333,0.5,"The Originals City, Hôtel de Bordeaux, Bergerac (Inter-Hotel)"
509,Rio Gallegos,AR,48.25,light rain,-51.6226,-69.2181,Hotel Santa Cruz
510,Sukhumi,GE,53.55,light rain,43.0033,41.0153,Leon Boutique Hotel
511,Churapcha,RU,37.15,scattered clouds,62.0025,132.4325,"""Tusku"""
512,Merrill,US,68.77,clear sky,45.1805,-89.6835,Prairie Motel
514,Berlevag,NO,39.0,overcast clouds,70.8578,29.0864,Kvitbrakka
515,Grants Pass,US,64.9,broken clouds,42.439,-123.3284,La Quinta Inn & Suites by Wyndham Grants Pass
516,Potsdam,DE,60.12,overcast clouds,52.3989,13.0657,Dorint Hotel Sanssouci Berlin/Potsdam
517,Tignere,CM,66.52,overcast clouds,7.3667,12.65,SADECK
519,Batemans Bay,AU,56.1,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
520,Saint-Joseph,RE,70.18,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
521,Kysyl-Syr,RU,38.37,overcast clouds,63.8986,122.7617,
522,Springdale,US,66.11,scattered clouds,36.1867,-94.1288,Springdale Inn
524,Vila Do Maio,CV,72.39,clear sky,15.1333,-23.2167,Hotel Marilu
525,Margate,GB,57.87,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
528,Chililabombwe,ZM,64.08,overcast clouds,-12.3648,27.8229,Tabernacle Guest Lodge and Events (Under new management!)
529,Vredendal,ZA,53.51,few clouds,-31.6683,18.5012,Tharrakamma Guest House
530,Uyuni,BO,49.01,clear sky,-20.4597,-66.825,Hostal La Magia de Uyuni
531,Sinjar,IQ,59.14,scattered clouds,36.3209,41.8754,زوماني فون 1
532,Tecpan,GT,56.98,overcast clouds,14.7623,-90.9947,Villa San Ricardo
533,Gorele,TR,51.4,light rain,41.0308,39.0031,Görele Öğretmenevi
537,Palermo,IT,55.53,broken clouds,37.8167,13.5833,"Ponte Montagnola, Vicari"
539,Kaeo,NZ,68.32,clear sky,-35.1,173.7833,Bushido Lodge
540,Solnechnyy,RU,42.15,few clouds,50.7214,136.6319,Hotel complex Pastoral
542,Elko,US,71.62,overcast clouds,41.0002,-115.5012,
543,Vanavara,RU,41.97,broken clouds,60.34,102.2797,
544,Khandbari,NP,67.75,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
547,Linxia,CN,63.14,clear sky,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
550,Konongo,GH,69.93,overcast clouds,6.6167,-1.2167,Alice Tee Hotel
552,Morondava,MG,74.66,light rain,-20.2833,44.2833,La Case Bambou
556,Zarinsk,RU,50.59,broken clouds,53.7074,84.9493,Gostinitsa
559,Westport,US,53.89,light rain,41.1415,-73.3579,The Inn at Longshore
560,Grenaa,DK,53.82,overcast clouds,56.4158,10.8783,Hotel Marina
561,Rudnogorsk,RU,45.43,broken clouds,57.2639,103.7519,
563,Russellville,US,69.94,clear sky,35.2784,-93.1338,Hampton Inn Russellville
566,Cuamba,MZ,69.66,overcast clouds,-14.8031,36.5372,Hotel Vision
568,Bhowali,IN,60.01,clear sky,29.3833,79.5167,The Royal Court Ananta Express
570,Tinskoy,RU,52.23,scattered clouds,56.1525,96.9161,"Kemping ""Turist"""
572,Souillac,MU,73.78,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
574,Furstenwalde,DE,55.38,broken clouds,52.3667,14.0667,HOTEL KAISERHOF
575,Vysokogornyy,RU,39.74,overcast clouds,50.1167,139.15,
576,Linkoping,SE,51.78,few clouds,58.4109,15.6216,Elite Stora Hotellet
577,Karnobat,BG,46.78,clear sky,42.65,26.9833,Spa Hotel Park
578,Kempele,FI,44.62,clear sky,64.9131,25.5034,Finlandia Hotel Airport Oulu
580,Saint-Donat-De-Montcalm,CA,48.06,clear sky,46.3187,-74.2219,Le Lincoln Marina Spa
581,Umea,SE,39.9,clear sky,63.8284,20.2597,Hotel Avenue | ProfilHotels
584,Muriti,TZ,71.51,light rain,-1.9833,32.9167,
586,Alpena,US,55.72,clear sky,45.0617,-83.4327,Days Inn by Wyndham Alpena
589,Sao Filipe,CV,73.56,clear sky,14.8961,-24.4956,Hotel Xaguate
592,Eyrarbakki,IS,39.25,overcast clouds,63.863,-21.1481,Guesthouse 77
593,Mega,ET,58.32,broken clouds,4.05,38.3,Amanuel Guest House
594,Nigran,ES,66.97,clear sky,42.1415,-8.8066,Hotel Holiday
597,Baruun-Urt,MN,41.79,broken clouds,46.6806,113.2792,Ахмадын амралт сувилал
598,Yantal,RU,47.05,overcast clouds,56.8471,105.2542,
599,Nagato,JP,68.2,overcast clouds,34.3833,131.2,いそう庵
600,Kenai,US,55.02,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
602,Quelimane,MZ,73.35,few clouds,-17.8786,36.8883,Hotel Flamingo
605,Bambous Virieux,MU,73.65,few clouds,-20.3428,57.7575,Casa Tia Villa
606,Vangaindrano,MG,70.77,light rain,-23.35,47.6,Hotel Fanilo
607,Livingston,GB,49.28,clear sky,55.9029,-3.5226,Mercure Livingston Hotel
608,Pacific Grove,US,70.02,few clouds,36.6177,-121.9166,Lovers Point Inn
609,Sioux Lookout,CA,62.67,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
611,Benghazi,LY,73.15,few clouds,32.1167,20.0667,Tibesti Hotel
614,Jumla,NP,49.57,few clouds,29.2747,82.1838,Royal Garden Hotel
616,Varzelandia,BR,74.39,broken clouds,-15.7014,-44.0275,Pousada Portal da Cidade
618,Srbobran,RS,57.9,overcast clouds,45.5539,19.8028,Assolutonero Kennel
619,Peniche,PT,56.93,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
620,Vadso,NO,42.96,overcast clouds,70.0744,29.7487,Scandic Vadsø
621,Beisfjord,NO,44.04,overcast clouds,68.3751,17.5988,
623,Erzin,TR,52.99,scattered clouds,36.9559,36.2,Artemis Otel
624,Ambilobe,MG,70.36,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
626,Knysna,ZA,61.18,moderate rain,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
629,Puerto Madryn,AR,61.25,broken clouds,-42.7692,-65.0385,Hotel Tolosa
630,Aliwal North,ZA,52.97,few clouds,-30.6937,26.7114,Queens Terrace B&B
632,Amapa,BR,73.0,overcast clouds,1.0,-52.0,
636,Ponta Delgada,PT,67.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
638,Svetlyy,RU,44.65,clear sky,54.675,20.1347,"Gostinitsa-Kafe, Alena"
639,Alvor,PT,65.05,broken clouds,37.1299,-8.5917,Penina Hotel & Golf Resort
640,Imeni Poliny Osipenko,RU,36.84,broken clouds,52.4201,136.4853,Yubileynaya
641,Broken Hill,AU,53.42,clear sky,-31.95,141.4333,Royal Exchange Hotel
642,Fort Smith,US,70.18,scattered clouds,35.3859,-94.3986,Hampton Inn Fort Smith
643,Tekeli,KZ,56.66,moderate rain,44.83,78.8239,Vuslat Tekeli
646,Fukue,JP,71.96,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
647,Shumskiy,RU,55.29,clear sky,54.8318,99.1328,
648,Pokhara,NP,66.56,scattered clouds,28.2333,83.9833,OYO 170 Hotel View Point
649,Kamaishi,JP,60.53,few clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
650,Skhisma,GR,64.83,scattered clouds,35.2667,25.7167,"Blue Palace, a Luxury Collection Resort and Spa, Crete"
651,Skibbereen,IE,48.11,clear sky,51.55,-9.2667,The West Cork Hotel
653,Palaikastron,GR,60.03,scattered clouds,35.2,26.25,Marina Village
654,Glinka,RU,43.81,overcast clouds,54.6404,32.8781,
658,Chapleau,CA,53.69,clear sky,47.8405,-83.4034,Nemegosenda Lake Lodge
660,Vila,PT,56.28,scattered clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
664,Belen,TR,55.54,scattered clouds,36.4891,36.2233,Varlıbaş Uyku Sarayı
666,Khasan,RU,53.51,overcast clouds,42.4308,130.6434,Fangchuan Self-Driving Camp
667,Kumluca,TR,62.37,scattered clouds,36.3703,30.2869,TurkuazKöy
669,Port Pirie,AU,53.69,broken clouds,-33.1833,138.0167,John Pirie Motor Inn
670,Torma,EE,42.66,few clouds,58.8128,26.7383,Torma Puhkemaja
671,Pleshanovo,RU,36.54,clear sky,52.8333,53.4833,Gostevoy Dom Magiya Uyuta
672,Taunggyi,MM,67.32,clear sky,20.7833,97.0333,True Treasure Hotel
674,Shache,CN,70.41,overcast clouds,38.4167,77.2406,Delong Hotel
675,Hirna,ET,62.49,broken clouds,9.2167,41.1,Seid Ali
676,Sept-Iles,CA,36.12,scattered clouds,50.2001,-66.3821,Comfort Inn
678,Sayyan,YE,62.13,clear sky,15.1718,44.3244,ملاطف ابوحورية
679,Ericeira,PT,65.39,overcast clouds,38.9627,-9.4156,HOTEL PEDRO O PESCADOR
680,Salta,AR,55.58,clear sky,-24.7859,-65.4117,Hotel Alejandro I
682,Sajanan,TN,56.32,light rain,37.0573,9.2426,Centre de culture du tabac sejenene
685,Port Hardy,CA,46.4,scattered clouds,50.6996,-127.4199,Airport Inn-Port Hardy
687,Punta Alta,AR,60.6,scattered clouds,-38.8759,-62.0736,Center Hotel Punta Alta
688,Toora-Khem,RU,47.23,clear sky,52.4675,96.11,
690,Xifeng,CN,50.05,scattered clouds,42.7372,124.7222,Home Inn Hotel
693,Rozkishne,UA,40.3,broken clouds,48.5074,39.3004,Домино
695,Gazanjyk,TM,66.61,scattered clouds,39.2446,55.5154,Railway motel
